property_id,suburb,postcode,property_type,bedrooms,bathrooms,car_spaces,land_size_sqm,internal_area_sqm,year_built,condition,has_pool,distance_to_cbd_km,distance_to_station_km,sale_method,sale_date,days_on_market,agent_description,sale_price
P088,Parramatta,2150,Apartment,2,2,0.0,,59.0,2022.0,Good,False,21.6,0.67,Auction,2024-01-22,28.0,"Positioned in a boutique security block with lift access. 2 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. An easy walk to Church Street dining and the river foreshore.",600000
P089,Blacktown,2148,House,3,2,1.0,475.0,264.0,1984.0,Good,False,34.4,1.15,Auction,2025-09-08,,"Solid brick home with scope to add value over time. 3 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Close to local schools, parklands and the M7 on-ramp.",810000
P090,Blacktown,2148,Apartment,2,2,0.0,,72.0,,Needs work,False,34.6,0.6,Private treaty,2025-08-02,50.0,"Bright, generously proportioned apartment with a full-width balcony. 2 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Requires full renovation throughout - bring your builder. Convenient to shops, childcare and express city trains.",415000
P091,Blacktown,2148,House,6,2,0.0,617.0,239.0,1974.0,Renovated,False,34.4,0.52,Private treaty,2024-09-27,41.0,"Sun-drenched residence set on a level block. 6 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Recently renovated with quality finishes. Close to local schools, parklands and the M7 on-ramp.",1030000
P092,Mosman,2088,House,3,2,,722.0,135.0,1946.0,Needs work,False,6.6,1.1,Auction,2025-02-26,23.0,"Deceased estate offered to the market for the first time in decades. 3 bedrooms, 2 bathrooms. Sweeping harbour views across to the city skyline. Requires full renovation throughout - bring your builder. Significant development potential (STCA) on this large parcel. Close to quality schools, Mosman village and the harbour foreshore.",5255000
P093,Parramatta,2150,Apartment,1,1,1.0,,44.0,2026.0,New,False,24.2,0.45,Auction,2025-05-17,4.0,"Top-floor apartment offering privacy and an open outlook. 1 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Brand new and never lived in, with full builder's warranty. Close to Westfield, the university campus and ferry wharf.",560000
P094,Blacktown,2148,House,3,2,1.0,479.0,194.0,2023.0,New,False,31.9,0.96,Private treaty,2025-07-15,42.0,"Solid brick home with scope to add value over time. 3 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Brand new and never lived in, with full builder's warranty. Walk to Westpoint, schools and Blacktown station.",920000
P095,Blacktown,2148,House,4,3,3.0,,157.0,1980.0,Renovated,False,34.0,0.75,Auction,2025-09-07,12.0,"Spacious family home offering flexible living zones. 4 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Recently renovated with quality finishes. Close to local schools, parklands and the M7 on-ramp.",1030000
P096,Parramatta,2150,Apartment,2,1,1.0,,70.0,1990.0,Good,False,23.3,0.15,Auction,2025-05-04,4.0,"Bright, generously proportioned apartment with a full-width balcony. 2 bedrooms, 1 bathrooms. Elevated with pleasant district outlook. Well maintained and presented in good order throughout. Close to Westfield, the university campus and ferry wharf.",515000
P097,Blacktown,2148,House,5,2,1.0,698.0,,1962.0,Renovated,False,33.8,0.54,Private treaty,2026-08-08,22.0,"Solid brick home with scope to add value over time. 5 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Renovated throughout with a designer kitchen and new bathrooms. Convenient to shops, childcare and express city trains.",1140000
P098,Mosman,2088,House,6,3,3.0,1016.0,374.0,1919.0,Original,False,7.5,0.9,Private treaty,2025-03-24,4.0,"Spacious family home offering flexible living zones. 6 bedrooms, 3 bathrooms. Leafy district views from the main living zone. Retains original features and awaits a cosmetic update. Close to quality schools, Mosman village and the harbour foreshore.",10455000
P099,Mosman,2088,Apartment,2,1,2.0,,117.0,1941.0,Original,False,7.7,0.53,Auction,2024-02-25,16.0,"Top-floor apartment offering privacy and an open outlook. 2 bedrooms, 1 bathrooms. Commanding harbour views from every principal room. Retains original features and awaits a cosmetic update. An easy stroll to Balmoral Beach and the ferry.",1660000
P100,Mosman,2088,Townhouse,3,2,1.0,178.0,105.0,,Needs work,False,7.2,0.99,Auction,2025-03-07,28.0,"Low-maintenance townhouse in a small, well-kept complex. 3 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Original condition and in need of significant work. An easy stroll to Balmoral Beach and the ferry.",1910000
P101,Blacktown,2148,House,4,2,2.0,720.0,,2003.0,Original,False,34.1,2.5,Private treaty,2026-01-15,40.0,"Solid brick home with scope to add value over time. 4 bedrooms, 2 bathrooms. Elevated with pleasant district outlook. Retains original features and awaits a cosmetic update. Convenient to shops, childcare and express city trains.",925000
P102,Blacktown,2148,House,3,2,,989.0,102.0,1975.0,Good,False,32.9,0.81,Private treaty,2024-02-22,12.0,"Deceased estate offered to the market for the first time in decades. 3 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Walk to Westpoint, schools and Blacktown station.",790000
P103,Parramatta,2150,Apartment,2,1,1.0,,82.0,2025.0,New,False,23.5,0.39,Private treaty,2025-07-17,24.0,"Immaculate apartment in a well-maintained, established building. 2 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Brand new and never lived in, with full builder's warranty. Moments to Parramatta Square, the light rail and the station.",810000
P104,Parramatta,2150,Townhouse,3,2,2.0,171.0,115.0,1945.0,Needs work,False,22.9,0.2,Private treaty,2026-05-16,18.0,"Rarely offered townhouse in a boutique group of six. 3 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Requires full renovation throughout - bring your builder. An easy walk to Church Street dining and the river foreshore.",880000
P105,Mosman,2088,House,3,1,,710.0,244.0,,Needs work,False,5.7,1.21,Auction,2025-05-13,,"Immaculately presented family home in a quiet pocket. 3 bedrooms, 1 bathrooms. Leafy district views from the main living zone. Requires full renovation throughout - bring your builder. Close to quality schools, Mosman village and the harbour foreshore.",4920000
P106,Parramatta,2150,Townhouse,3,3,2.0,139.0,103.0,,Renovated,False,23.7,0.17,Auction,2025-06-14,75.0,"Rarely offered townhouse in a boutique group of six. 3 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Renovated throughout with a designer kitchen and new bathrooms. Moments to Parramatta Square, the light rail and the station.",1160000
P107,Parramatta,2150,Apartment,1,2,2.0,,,1969.0,Good,False,23.6,0.15,Private treaty,2025-06-05,4.0,"Immaculate apartment in a well-maintained, established building. 1 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. An easy walk to Church Street dining and the river foreshore.",615000
P108,Mosman,2088,Apartment,2,1,0.0,,68.0,1957.0,Renovated,False,8.4,1.34,Auction,2026-08-04,11.0,"Immaculate apartment in a well-maintained, established building. 2 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Recently renovated with quality finishes. An easy stroll to Balmoral Beach and the ferry.",1415000
P109,Parramatta,2150,Apartment,2,2,1.0,,79.0,1993.0,Good,False,24.1,0.15,Auction,2026-01-18,11.0,"Immaculate apartment in a well-maintained, established building. 2 bedrooms, 2 bathrooms. Leafy district views from the main living zone. Well maintained and presented in good order throughout. Moments to Parramatta Square, the light rail and the station.",655000
P110,Mosman,2088,House,5,4,3.0,986.0,153.0,1951.0,Renovated,False,8.6,1.73,Auction,2025-10-30,67.0,"Sun-drenched residence set on a level block. 5 bedrooms, 4 bathrooms. A private, leafy outlook from the rear living area. Renovated throughout with a designer kitchen and new bathrooms. An easy stroll to Balmoral Beach and the ferry.",7205000
P111,Mosman,2088,House,3,2,2.0,426.0,493.0,1967.0,Renovated,True,8.4,0.7,Private treaty,2025-12-17,34.0,"Spacious family home offering flexible living zones. 3 bedrooms, 2 bathrooms. Leafy district views from the main living zone. Renovated throughout with a designer kitchen and new bathrooms. Close to quality schools, Mosman village and the harbour foreshore.",6655000
P112,Parramatta,2150,Apartment,1,2,0.0,,37.0,2015.0,Original,False,25.7,1.42,Auction,2024-04-28,30.0,"Top-floor apartment offering privacy and an open outlook. 1 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Retains original features and awaits a cosmetic update. Moments to Parramatta Square, the light rail and the station.",480000
P113,Blacktown,2148,House,4,1,2.0,294.0,248.0,1962.0,Original,False,34.0,1.54,Private treaty,2026-07-03,3.0,"Immaculately presented family home in a quiet pocket. 4 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Retains original features and awaits a cosmetic update. Close to local schools, parklands and the M7 on-ramp.",900000
P114,Mosman,2088,House,3,2,2.0,915.0,147.0,1974.0,Original,False,7.9,1.41,Auction,2024-11-20,49.0,"Immaculately presented family home in a quiet pocket. 3 bedrooms, 2 bathrooms. Leafy district views from the main living zone. Retains original features and awaits a cosmetic update. Close to quality schools, Mosman village and the harbour foreshore.",4705000
P115,Parramatta,2150,House,4,2,2.0,530.0,114.0,2006.0,Good,False,21.7,0.36,Auction,2024-10-27,88.0,"Deceased estate offered to the market for the first time in decades. 4 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. An easy walk to Church Street dining and the river foreshore.",1445000
P116,Parramatta,2150,Apartment,2,2,1.0,,64.0,1982.0,Renovated,False,23.9,0.84,Auction,2025-12-05,41.0,"Positioned in a boutique security block with lift access. 2 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Renovated throughout with a designer kitchen and new bathrooms. Moments to Parramatta Square, the light rail and the station.",600000
P117,Mosman,2088,House,5,3,3.0,,217.0,1978.0,Original,False,8.6,0.15,Private treaty,2026-01-11,25.0,"Sun-drenched residence set on a level block. 5 bedrooms, 3 bathrooms. Direct waterfront with private jetty and boatshed. Retains original features and awaits a cosmetic update. An easy stroll to Balmoral Beach and the ferry.",12640000
P118,Blacktown,2148,House,5,3,2.0,429.0,174.0,2025.0,New,False,32.5,0.15,Auction,2026-03-09,35.0,"Rare opportunity in one of the area's most tightly held streets. 5 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Newly completed with premium appliances and finishes. Walk to Westpoint, schools and Blacktown station.",1345000
P119,Parramatta,2150,Townhouse,3,2,1.0,234.0,,2026.0,Original,False,23.0,1.08,Auction,2024-12-03,32.0,"Beautifully updated townhouse ready to move straight into. 3 bedrooms, 2 bathrooms. Elevated with pleasant district outlook. Retains original features and awaits a cosmetic update. An easy walk to Church Street dining and the river foreshore.",1075000
P120,Mosman,2088,Townhouse,3,2,2.0,355.0,114.0,1928.0,Original,False,7.6,0.86,Private treaty,2025-02-15,22.0,"Rarely offered townhouse in a boutique group of six. 3 bedrooms, 2 bathrooms. Water glimpses from the upper level. Retains original features and awaits a cosmetic update. Walk to Spit Junction village, cafes and city buses.",2510000
